brand,gender,us_size,uk_size,eu_size,foot_length_cm,foot_length_mm,offers_width_grades
New Balance,men,11,10.5,45,29.0,290,yes
New Balance,men,11.5,11,46,29.5,295,yes
New Balance,men,12,11.5,46.5,30.0,300,yes
Converse,men,4,3,35,22.0,220,no
Converse,men,5,4,36.5,23.3,233,no
Converse,men,6,5,37.5,24.0,240,no
Converse,men,7,6,40,24.5,245,no
Converse,men,8,7,41,25.5,255,no
Converse,men,9,8,42.5,26.5,265,no
Converse,men,10,9,44,27.5,275,no
Converse,men,11,10,45,28.5,285,no
Converse,men,12,11,45,29.5,295,no
ASICS,men,5,4,37,23.0,230,yes
ASICS,men,6,5,39,24.3,243,yes
ASICS,men,7,6,40,25.2,252,yes
ASICS,men,8.5,7.5,42,25.9,259,yes
ASICS,men,9,8,42.5,26.8,268,yes
ASICS,men,9.5,8.5,43.5,26.9,269,yes
ASICS,men,10,9,44,27.8,278,yes
ASICS,men,10.5,9.5,44.5,27.9,279,yes
ASICS,men,11,10,45,28.5,285,yes
ASICS,men,11.5,10.5,46,28.7,287,yes
ASICS,men,12,11,46.5,29.2,292,yes
ASICS,men,13,12,47.5,30.5,305,yes
ASICS,men,14,13,48.5,30.7,307,yes
ASICS,women,5,3,35.5,22.7,227,yes
ASICS,women,6.5,4.5,37.5,23.0,230,yes
ASICS,women,7,5,38,24.4,244,yes
ASICS,women,7.5,5.5,39,24.5,245,yes
ASICS,women,8.5,6.5,40,25.3,253,yes
ASICS,women,9,7,40.5,26.0,260,yes
ASICS,women,10,8,42,26.1,261,yes
ASICS,women,10.5,8.5,42.5,26.9,269,yes
ASICS,women,11,9,43.5,27.8,278,yes
ASICS,women,12,10,44.5,28.5,285,yes
ASICS,women,13,11,46.5,29.5,295,yes
Birkenstock,men,5,4.5,38,24.5,245,no
Birkenstock,men,6,5.5,39,25.0,250,no
Birkenstock,men,7,6,40,26.0,260,no
Birkenstock,men,8,7,41,26.5,265,no
Birkenstock,men,9,8,42,27.0,270,no
Birkenstock,men,10,9,43,28.0,280,no
Birkenstock,men,11,9.5,44,28.5,285,no
Birkenstock,men,12,10.5,45,29.5,295,no
Birkenstock,men,13,11.5,46,30.0,300,no
Birkenstock,men,14,12,47,30.5,305,no
Birkenstock,men,15,13,48,31.0,310,no
Birkenstock,men,16,14,49,32.0,320,no
Birkenstock,men,17,14.5,50,32.5,325,no
Birkenstock,women,4,2.5,35,22.5,225,no
Birkenstock,women,5,3.5,36,23.0,230,no
Birkenstock,women,6,4.5,37,24.0,240,no
Birkenstock,women,7,5,38,24.5,245,no
Birkenstock,women,8,5.5,39,25.0,250,no
Birkenstock,women,9,7,40,26.0,260,no
Birkenstock,women,10,7.5,41,26.5,265,no
Birkenstock,women,11,8,42,27.0,270,no
Birkenstock,women,12,9,43,28.0,280,no
